emotion,k,tfidf_precision,sbert_precision,tfidf_recall,sbert_recall,tfidf_ndcg,sbert_ndcg,tfidf_diversity,sbert_diversity
anxious,5,0.4,0.8,0.00046959380136182204,0.0009391876027236441,0.30078518014914984,0.830419897363192,7,13
anxious,10,0.6,0.9,0.001408781404085466,0.002113172106128199,0.47289350335945435,0.8899541168509599,14,19
happy,5,0.2,0.8,0.00023479690068091102,0.0009391876027236441,0.14606834984270645,0.6608397947263839,13,13
happy,10,0.4,0.7,0.0009391876027236441,0.001643578304766377,0.31017134364653787,0.6352557412688555,20,20
sad,5,0.4,1.0,0.00046959380136182204,0.0011739845034045551,0.30078518014914984,1.0,7,10
sad,10,0.6,0.9,0.001408781404085466,0.002113172106128199,0.47289350335945435,0.9266360779006401,14,15
excited,5,0.2,0.8,0.00023479690068091102,0.0009391876027236441,0.14606834984270645,0.830419897363192,13,14
excited,10,0.5,0.7,0.0011739845034045551,0.001643578304766377,0.37249286693834416,0.7453016244178956,15,23
stressed,5,0.4,0.8,0.00046959380136182204,0.0009391876027236441,0.34519134224686937,0.830419897363192,13,14
stressed,10,0.3,0.9,0.000704390702042733,0.002113172106128199,0.28762634971412726,0.8899541168509599,23,22
